"","cohesion","aggregation","p0","param","coverage","Model"
"241","0.67",NA,"0.2","N",0.09,"SC"
"242","0.67",NA,"0.2","sigma",0,"SC"
"243","1",NA,"0.05","N",0,"SC"
"244","1",NA,"0.05","sigma",0,"SC"
"245","1",NA,"0.2","N",0.57,"SC"
"246","1",NA,"0.2","sigma",0.01,"SC"
"247","1",NA,"0.05","N",0,"SC"
"248","1",NA,"0.05","sigma",0.01,"SC"
"249","1",NA,"0.2","N",0.01,"SC"
"250","1",NA,"0.2","sigma",0,"SC"
